CÓDIGO,NOME,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),LATITUDE (ºN),LONGITUDE (ºW),ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
24I/53,AFLUENTE DO RIO XARRAMA,SADO,133,197083.33,150796.02,38.32429,-8.16645,ARH-ALENTEJO,ÉVORA,VIANA DO ALENTEJO,ALCÁÇOVAS,BARRANCO DO ANEL,-,-,01-02-2015,-,DQA_ECOL_VIG,ATIVA,
10H/03,AGADÃO,VOUGA/RIBEIRAS COSTEIRAS,138,184105,397394,40.544644,-8.321531,ARH-CENTRO,AVEIRO,ÁGUEDA,AGADÃO,RIO AGADAO,35.23,59.05,13-02-2001,-,Fluxo,ATIVA,
05G/14,AGRAS DE OLIVEIRA,AVE,108,-,-,41.37077,-8.34949,ARH-NORTE,BRAGA,GUIMARÃES,MOREIRA DE CÓNEGOS,,-,-,-,-,-,-,
03O/50,AGROCHÃO,DOURO,431,293052,525277,41.6915,-7.0154,UTAD,BRAGANÇA,VINHAIS,AGROCHÃO,,-,-,20-05-2010,-,DQA_ECOL_VIG,ATIVA,
07F/25,AGUDA,,0,-,-,41.043673,-8.652854,-,-,-,-,,-,-,01-01-2019,-,-,ATIVA,
07F/01BIV,AGUDA (V. N. GAIA) (Biota-Bivalves),OCEANO ATLÂNTICO,-,-,-,41.04866,-8.6546,ARH-NORTE,-,-,-,,-,-,-,-,-,-,
05P/52,ALAMBIQUES,DOURO,554,299061,487661,41.3521,-6.9494,UTAD,BRAGANÇA,ALFÂNDEGA DA FÉ,ALFÂNDEGA DA FÉ,,-,-,27-05-2010,-,DQA_ECOL_VIG,ATIVA,
19O/10,ALB. ABRILONGO,GUADIANA,240,287149,237348,39.0996,-7.12567,ARH-ALENTEJO,PORTALEGRE,CAMPO MAIOR,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS,RIBEIRA DO ABRILONGO,-,-,23-08-2009,-,DQA_ECOL_OPER,ATIVA,
19O/01C,ALB. ABRILONGO (C),GUADIANA,240,287141,237279,39.09739,-7.12463,ARH-ALENTEJO,PORTALEGRE,CAMPO MAIOR,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS,RIBEIRA DO ABRILONGO,-,-,23-08-2009,-,DQA_ECOL_VIG,ATIVA,
11H/05,ALB. AGUIEIRA,MONDEGO,113,194628,374655,40.34059,-8.19633,ARH-CENTRO,COIMBRA,PENACOVA,TRAVANCA DO MONDEGO,RIO MONDEGO,3069.04,91.15,18-04-1989,01-01-2015,CAPTAÇÃO-75-440 / EXTRACÇÃO / NITRATOS-EST_TRÓFICO / DQA_QUIM_VIG,DESATIVADA,
11H/07,ALB. AGUIEIRA - CRIZ,MONDEGO,113,196247.27,378716.25,40.37717,-8.1773,ARH-CENTRO,VISEU,SANTA COMBA DÃO,COUTO DO MOSTEIRO,RIO MONDEGO,-,-,15-02-2012,-,DQA_ECOL_OPER,ATIVA,
11H/07C,ALB. AGUIEIRA - CRIZ (C),MONDEGO,113,196247.27,378716.25,40.37717,-8.1773,ARH-CENTRO,VISEU,SANTA COMBA DÃO,COUTO DO MOSTEIRO,RIO MONDEGO,-,-,01-01-2014,-,DQA_ECOL_OPER,ATIVA,
11H/07F,ALB. AGUIEIRA - CRIZ (F),MONDEGO,113,196247.27,378716.25,40.37717,-8.1773,ARH-CENTRO,VISEU,SANTA COMBA DÃO,COUTO DO MOSTEIRO,RIO MONDEGO,-,-,01-01-2014,-,DQA_ECOL_OPER,ATIVA,
11H/10,ALB. AGUIEIRA - MARINA,MONDEGO,113,-4644.3,74472.44,40.33744,-8.18444,ARH-CENTRO,-,-,-,RIO MONDEGO,-,-,01-01-2015,-,DQA,ATIVA,
11H/02,ALB. AGUIEIRA - MORTÁGUA - CAPT. 48,MONDEGO,113,-,-,40.387117,-8.17543,ARH-CENTRO,VISEU,MORTÁGUA,UNIÃO DAS FREGUESIAS DE MORTÁGUA  VALE DE REMÍGIO  CORTEGAÇA E ALMAÇA,,-,-,01-01-2017,-,CAPTAÇÃO,ATIVA,
11I/14C,ALB. AGUIEIRA - PINHEIRO DE ÁZERE / TÁBUA (C),MONDEGO,113,2993.71,76252.14,40.3549935,-8.0978675,ARH-CENTRO,-,-,-,RIO MONDEGO,-,-,01-01-2015,-,DQA,ATIVA,
11I/14S,ALB. AGUIEIRA - PINHEIRO DE ÁZERE / TÁBUA (S),MONDEGO,113,2993.71,76252.14,40.3549935,-8.0978675,ARH-CENTRO,-,-,-,RIO MONDEGO,-,-,01-01-2015,-,DQA,ATIVA,
11I/10,ALB. AGUIEIRA - S. JOÃO AREIAS/TÁBUA - CAPT. 22,MONDEGO,113,206202,378189,40.3724,-8.061369,ARH-CENTRO,VISEU,SANTA COMBA DÃO,SÃO JOÃO DE AREIAS,RIO MONDEGO,1543.8,106.79,19-02-2001,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / DQA_QUIM_VIG,ATIVA,
11I/11,ALB. AGUIEIRA - SANTA COMBA DÃO - GRANJAL,MONDEGO,122,200795,381006,40.3978,-8.12374,ARH-CENTRO,VISEU,SANTA COMBA DÃO,SANTA COMBA DÃO,RIO DÃO,1141.4,102.41,19-02-2001,01-01-2016,DQA_QUIM_VIG,DESATIVADA,
11I/11C,ALB. AGUIEIRA - SANTA COMBA DÃO - GRANJAL (C),MONDEGO,122,200795,381006,40.3978,-8.12374,ARH-CENTRO,VISEU,SANTA COMBA DÃO,SANTA COMBA DÃO,RIO DÃO,-,-,01-01-2014,-,DQA_QUIM_VIG,ATIVA,
11I/11F,ALB. AGUIEIRA - SANTA COMBA DÃO - GRANJAL (F),MONDEGO,122,200795,381006,40.3978,-8.12374,ARH-CENTRO,VISEU,SANTA COMBA DÃO,SANTA COMBA DÃO,RIO DÃO,-,-,01-01-2014,-,DQA_QUIM_VIG,ATIVA,
03N/07,ALB. AGUIEIRAS,DOURO,344,-,-,41.73369,-7.19015,AdN,-,-,-,,-,-,-,-,-,-,
11H/11F,ALB. AGUIEIRA_est 1 fundo - CCHE,MONDEGO,113,-,-,40.34372,-8.19408,EDP,VISEU,MORTÁGUA,ALMAÇA,RIO MONDEGO,-,-,01-01-2010,-,TURH,ATIVA,
11H/11C,ALB. AGUIEIRA_est 1 int - CCHE,MONDEGO,113,-,-,40.34372,-8.19408,EDP,VISEU,MORTÁGUA,ALMAÇA,RIO MONDEGO,-,-,01-01-2010,-,TURH,ATIVA,
11H/11M,ALB. AGUIEIRA_est 1 meio - CCHE,MONDEGO,113,-,-,40.34372,-8.19408,EDP,VISEU,MORTÁGUA,ALMAÇA,RIO MONDEGO,-,-,01-01-2010,-,TURH,ATIVA,
11H/11P,ALB. AGUIEIRA_est 1 perfil - CCHE,MONDEGO,113,-,-,40.34372,-8.19408,EDP,VISEU,MORTÁGUA,ALMAÇA,RIO MONDEGO,-,-,01-01-2010,-,TURH,ATIVA,
11H/09F,ALB. AGUIEIRA_est 2 fundo - CCHE,MONDEGO,113,-,-,40.33744,-8.18444,EDP,VISEU,SANTA COMBA DÃO,OVOA,RIO MONDEGO,-,-,01-01-2010,-,TURH,ATIVA,
11H/09C,ALB. AGUIEIRA_est 2 int - CCHE,MONDEGO,113,-,-,40.33744,-8.18444,EDP,VISEU,SANTA COMBA DÃO,OVOA,RIO MONDEGO,-,-,01-01-2010,-,TURH,ATIVA,
11H/09M,ALB. AGUIEIRA_est 2 meio - CCHE,MONDEGO,113,-,-,40.33744,-8.18444,EDP,VISEU,SANTA COMBA DÃO,OVOA,RIO MONDEGO,-,-,01-01-2010,-,TURH,ATIVA,
11H/09P,ALB. AGUIEIRA_est 2 perfil - CCHE,MONDEGO,113,-,-,40.33744,-8.18444,EDP,VISEU,SANTA COMBA DÃO,OVOA,RIO MONDEGO,-,-,01-01-2010,-,TURH,ATIVA,
29M/03F,ALB. ALCOUTIM (F),GUADIANA,56,256611,56171,37.47,-7.492535,ARH-ALGARVE,FARO,ALCOUTIM,ALCOUTIM,BARRANCO DOS LADROES,23.39,42.19,17-05-2000,18-09-2002,CAPTAÇÃO-75-440 / EXTRACÇÃO,EXTINTA,
29M/03S,ALB. ALCOUTIM (S),GUADIANA,56,256611,56171,37.47,-7.492535,ARH-ALGARVE,FARO,ALCOUTIM,ALCOUTIM,BARRANCO DOS LADROES,23.39,42.19,17-05-2000,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / LE(CAPTAÇÃO),ATIVA,
06Q/03C,ALB. ALDEADÁVILA (C),DOURO,333,-,-,41.213585,-6.683815,ARH-NORTE,BRAGANÇA,MOGADOURO,BRUÇÓ,,-,-,-,-,-,-,
24M/05F,ALB. ALQUEVA (F),GUADIANA,118,255875,136966,38.19796,-7.49523,INAG/LABELEC,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,55288.95,159.65,15-01-2003,10-12-2004,IMPACTO / FLUXO-LE,EXTINTA,
24M/05M,ALB. ALQUEVA (M),GUADIANA,118,255875,136966,38.19796,-7.49523,INAG/LABELEC,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,55288.95,159.65,15-01-2003,10-12-2004,IMPACTO / FLUXO-LE,EXTINTA,
