CÓDIGO,NOME,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),LATITUDE (ºN),LONGITUDE (ºW),ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
14D/02,LIS - PASSAGEM (PONTE),LIS/RIBEIRAS COSTEIRAS,2,-,-,39.88318,-8.9106,INAG/IPIMAR,LEIRIA,MARINHA GRANDE,VIEIRA DE LEIRIA,RIO LIS,-,-,19-04-2010,-,EEMA,ATIVA,
14D/04,LIS - PONTE BAJANCA,LIS/RIBEIRAS COSTEIRAS,4,131437,324189,39.88333,-8.93464,ARH-CENTRO,LEIRIA,MARINHA GRANDE,VIEIRA DE LEIRIA,RIO LIS,-,-,07-07-2010,-,IMPACTO,ATIVA,
14D/06,LIS - PRAIA VIEIRA (PONTE),LIS/RIBEIRAS COSTEIRAS,1,-,-,39.88038,-8.96307,INAG/IPIMAR,LEIRIA,LEIRIA,-,RIO LIS,-,-,19-04-2010,-,EEMA,ATIVA,
15D/03,LIS - RIB. ESCOURA,LIS/RIBEIRAS COSTEIRAS,19,135234,315977,39.80968,-8.88944,ARH-CENTRO,LEIRIA,LEIRIA,AMOR,RIO LIS,-,-,29-07-2008,-,DQA_QUIM_VIG,ATIVA,
21H/52,LOBEIRA DE BAIXO,TEJO,114,-14064.97,-99309.84,38.7736218,-8.2949574,ARH-TEJO,ÉVORA,MONTEMOR-O-NOVO,LAVRE,RIBEIRA DE LAVRE,-,-,07-07-2014,-,DQA_ECOL_VIG,ATIVA,
08I/02,LODEIRO,,208,-,-,40.936664,-8.103464,ARH-NORTE,-,-,-,,-,-,-,-,-,-,
03J/04,LOIVOS - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,769,-,-,41.77893,-7.93806,ARH-NORTE,VILA REAL,MONTALEGRE,UNIÃO DAS FREGUESIAS DE PARADELA  CONTIM E FIÃES,,-,-,-,-,-,-,
04G/02,LOMAR,AVE,141,-,-,41.52059,-8.43493,ARH-NORTE,BRAGA,BRAGA,UNIÃO DAS FREGUESIAS DE LOMAR E ARCOS,,-,-,-,-,-,-,
07G/54,LOMBA,,13,176410.34,455685.56,41.06994,-8.41379,ARH-NORTE,PORTO,GONDOMAR,LOMBA,RIO DOURO,-,-,01-04-2016,-,DQA_QUIM_VIG,ATIVA,
06E/01,LOMBA - FOZ LEÇA,LEÇA,16,154031,470049,41.207633,-8.670575,ARH-NORTE,PORTO,MATOSINHOS,GUIFÕES,RIO LEÇA,-,-,23-04-2007,-,DQA_QUIM_VIG,ATIVA,
14N/07,LOMBA DO CURRAL,TEJO,165,-,-,39.874915,-7.301355,ARH-TEJO,CASTELO BRANCO,IDANHA-A-NOVA,LADOEIRO,,-,-,-,-,-,-,
13J/06,LOMBA DO MEIO,TEJO,323,-,-,40.016322,-7.835438,ARH-TEJO,CASTELO BRANCO,OLEIROS,CAMBAS,,-,-,-,-,-,-,
01F/50,LOMBA DO RIO,MINHO,4,156549,559330,42.00223,-8.65758,UTAD,VIANA DO CASTELO,VALENÇA,CRISTELO COVO,RIBEIRA DA VEIGA DO MIRA,-,-,21-06-2010,-,DQA_ECOL_VIG,ATIVA,
20A/02,LOMBA DOS PIANOS,RIBEIRAS DO OESTE,43,-,-,38.890861,-9.424704,ARH-TEJO,LISBOA,SINTRA,UNIÃO DAS FREGUESIAS DE SÃO JOÃO DAS LAMPAS E TERRUGEM,,-,-,-,-,-,-,
05M/50,LOMBO,DOURO,506,254482,499574,41.4636,-7.481,UTAD,VILA REAL,VILA POUCA DE AGUIAR,TRESMINAS,RIO CURROS,-,-,30-04-2010,-,DQA_ECOL_VIG,ATIVA,
24N/50,LOMBO ROMÃO,GUADIANA,157,279246,148958,38.287617,-7.206895,ARH-ALENTEJO,ÉVORA,MOURÃO,MOURÃO,RIBEIRA DE GODELIM,-,-,28-04-2009,-,DQA_ECOL_OPER,ATIVA,
05N/06,LONGRA,DOURO,193,-,-,41.37162,-7.24329,ARH-NORTE,BRAGANÇA,MIRANDELA,UNIÃO DAS FREGUESIAS DE BARCEL  MARMELOS E VALVERDE DA GESTOSA,,-,-,-,-,-,-,
23K/13C,LOUREIRO - CCHA (C),GUADIANA,208,234804,155885,38.36945,-7.73484,EDIA,ÉVORA,PORTEL,MONTE DO TRIGO,,-,-,17-11-2009,-,EDIA,ATIVA,
23K/13F,LOUREIRO - CCHA (F),GUADIANA,208,234804,155885,38.36945,-7.73484,EDIA,ÉVORA,PORTEL,MONTE DO TRIGO,,-,-,13-09-2006,-,EDIA,ATIVA,
23K/13P,LOUREIRO - CCHA (P),GUADIANA,208,-,-,38.36945,-7.73484,EDIA,-,-,-,,-,-,-,-,EDIA,-,
23K/13S,LOUREIRO - CCHA (S),GUADIANA,208,234804,155885,38.36945,-7.73484,EDIA,ÉVORA,PORTEL,MONTE DO TRIGO,,-,-,13-09-2006,-,EDIA,ATIVA,
23K/12,LOUREIRO - JUSANTE - CCHA,GUADIANA,195,235935,156613,38.37597,-7.72186,EDIA,ÉVORA,PORTEL,MONTE DO TRIGO,,-,-,15-11-2006,-,EDIA,ATIVA,
23K/11C,LOUREIRO - TOMADA - CCHA (C),GUADIANA,214,234429,155204,38.36333,-7.73916,EDIA,ÉVORA,PORTEL,MONTE DO TRIGO,,-,-,17-11-2009,-,EDIA,ATIVA,
23K/11F,LOUREIRO - TOMADA - CCHA (F),GUADIANA,214,234429,155204,38.36333,-7.73916,EDIA,ÉVORA,PORTEL,MONTE DO TRIGO,,-,-,10-10-2006,-,EDIA,ATIVA,
23K/11P,LOUREIRO - TOMADA - CCHA (P),GUADIANA,214,-,-,38.36333,-7.73916,EDIA,-,-,-,,-,-,-,-,EDIA,-,
23K/11S,LOUREIRO - TOMADA - CCHA (S),GUADIANA,214,234429,155204,38.36333,-7.73916,EDIA,ÉVORA,PORTEL,MONTE DO TRIGO,,-,-,10-10-2006,-,EDIA,ATIVA,
24J/01,LOUREIRO/ALVITO - LOUALV1 - CCHA,SADO,201,-,-,38.328056,-7.8625,EDIA,ÉVORA,PORTEL,UNIÃO DAS FREGUESIAS DE SÃO BARTOLOMEU DO OUTEIRO E ORIOLA,,-,-,-,-,-,-,
21B/01,LOURES,TEJO,14,109839,207890,38.83241,-9.1702,DGA,LISBOA,LOURES,LOURES,RIBEIRA DE LOURES,-,-,11-11-1985,08-02-1990,DGA,EXTINTA,
03H/12,LOURIDO - CCHE,LIMA,131,-,-,41.825778,-8.280278,EDP,VIANA DO CASTELO,PONTE DA BARCA,ENTRE AMBOS-OS-RIOS,RIO DE TROUFE,-,-,01-01-2009,-,TURH,ATIVA,
09H/03,LOURISELA - CCHE,VOUGA/RIBEIRAS COSTEIRAS,253,-,-,40.76404023,-8.296695743,ARH-CENTRO,AVEIRO,SEVER DO VOUGA,COUTO DE ESTEVES,,-,-,-,-,-,-,
05F/02,LOURO,AVE,70,164825,496451,41.436888,-8.554403,CCDR-NORTE,BRAGA,VILA NOVA DE FAMALICÃO,LOURO,RIO ESTE,121.57,25.57,27-10-1993,22-04-1999,CAPTAÇÃO / EXTRACÇÃO,EXTINTA,
13F/03,LOUZÕES,MONDEGO,18,-,-,40.06907,-8.66316,ARH-CENTRO,COIMBRA,SOURE,VILA NOVA DE ANÇOS,,-,-,-,-,-,-,
17B/21,LO_1_IPMA,,0,-,-,39.428025,-9.228167,-,-,-,-,,-,-,01-01-2009,-,-,ATIVA,
17B/22F,LO_2_IPMA (Fundo),,0,-,-,39.424561,-9.216339,-,-,-,-,,-,-,01-01-2009,-,-,ATIVA,
17B/22S,LO_2_IPMA (Sup),,0,-,-,39.424561,-9.216339,-,-,-,-,,-,-,01-01-2009,-,-,ATIVA,
17B/23,LO_3_IPMA,,0,-,-,39.410894,-9.210161,-,-,-,-,,-,-,01-01-2009,-,-,ATIVA,
17B/24,LO_4_IPMA,,0,-,-,39.404478,-9.191144,-,-,-,-,,-,-,01-01-2009,-,-,ATIVA,
17B/25,LO_5_IPMA,,0,-,-,39.394508,-9.217869,-,-,-,-,,-,-,01-01-2009,-,-,ATIVA,
22N/15C,LUCEFECIT - CCHA (C),GUADIANA,131,272675,176728,38.55493,-7.29936,EDIA,ÉVORA,ALANDROAL,CAPELINS (SANTO ANTÓNIO),,-,-,19-11-2009,-,EDIA,ATIVA,
22N/15F,LUCEFECIT - CCHA (F),GUADIANA,131,272675,176728,38.55493,-7.29936,EDIA,ÉVORA,ALANDROAL,CAPELINS (SANTO ANTÓNIO),RIO GUADIANA,-,-,11-05-2005,-,EDIA,ATIVA,
22N/15M,LUCEFECIT - CCHA (M),GUADIANA,131,272675,176728,38.55493,-7.29936,EDIA,ÉVORA,ALANDROAL,CAPELINS (SANTO ANTÓNIO),RIO GUADIANA,-,-,11-05-2005,-,EDIA,ATIVA,
22N/15P,LUCEFECIT - CCHA (P),GUADIANA,131,-,-,38.55493,-7.29936,EDIA,-,-,-,,-,-,-,-,EDIA,-,
22N/15S,LUCEFECIT - CCHA (S),GUADIANA,131,272675,176728,38.55493,-7.29936,EDIA,ÉVORA,ALANDROAL,CAPELINS (SANTO ANTÓNIO),RIO GUADIANA,-,-,11-05-2005,-,EDIA,ATIVA,
22M/04,LUCEFECIT 1,GUADIANA,167,-,-,38.619581,-7.397737,ARH-ALENTEJO,ÉVORA,ALANDROAL,TERENA (SÃO PEDRO),,-,-,-,-,-,-,
22M/03S,LUCEFÉCIT - CONFLUÊNCIA - CCHA (S),GUADIANA,131,68728,-118596,38.5973404,-7.3441819,EDIA,ÉVORA,REGUENGOS DE MONSARAZ,MONSARAZ,,-,-,23-11-2011,-,EDIA,ATIVA,
06K/13,LUGAR DA ÍNSUA,DOURO,328,-,-,41.29263,-7.75002,ARH-NORTE,VILA REAL,VILA REAL,VILA REAL,,-,-,-,-,-,-,
28F/56,LUZIANES,MIRA,98,-35418.56,-231200.95,37.584843,-8.534109,ARH-ALENTEJO,BEJA,ODEMIRA,LUZIANES-GARE,BARRANCO DAS PIPINAS,-,-,14-04-2009,-,DQA_ECOL_VIG,ATIVA,
05R/02,MACEDO DO PESO,DOURO,504,-,-,41.43765,-6.6389,ARH-NORTE,BRAGANÇA,MOGADOURO,SÃO MARTINHO DO PESO,,-,-,-,-,-,-,
04E/12,MADORRA,NEIVA,33,-,-,41.613753,-8.726084,ARH-NORTE,BRAGA,ESPOSENDE,FORJÃES,,-,-,-,-,-,-,
25K/10C,MAGRA - CCHA (C),GUADIANA,187,-,-,38.0467745,-7.7688562,EDIA,BEJA,BEJA,NOSSA SENHORA DAS NEVES,,-,-,-,-,EDIA,-,
25K/10P,MAGRA - CCHA (P),GUADIANA,187,-,-,38.0467745,-7.7688562,EDIA,-,-,-,,-,-,-,-,EDIA,-,
25K/10S,MAGRA - CCHA (S),GUADIANA,187,-,-,38.0467745,-7.7688562,EDIA,BEJA,BEJA,NOSSA SENHORA DAS NEVES,,-,-,-,-,EDIA,-,
13E/12,MAIORCA - A14,,2,-,-,40.15615,-8.736969,ARH-CENTRO,-,-,-,,-,-,-,-,-,-,
11G/03,MALAPOSTA,VOUGA/RIBEIRAS COSTEIRAS,27,-,-,40.449118,-8.451712,ARH-CENTRO,AVEIRO,ANADIA,UNIÃO DAS FREGUESIAS DE ARCOS E MOGOFORES,,-,-,-,-,-,-,
20M/52,MALHADA,TEJO,246,258510,224085,38.98253,-7.45784,ARH-TEJO,PORTALEGRE,MONFORTE,MONFORTE,RIBEIRA DE ALMURO,-,-,28-01-2010,-,DQA_ECOL_OPER,ATIVA,
21L/50,MALHADA (RIB. TERA),TEJO,237,42469.62,-97317.12,38.7906620997,-7.64428494018,ARH-TEJO,-,-,-,RIBEIRA DE TERA,-,-,20-02-2011,-,DQA_ECOL_OPER,ATIVA,
19K/02,MALHADA DA GRANJA,TEJO,157,-,-,39.046326,-7.70232,ARH-TEJO,PORTALEGRE,AVIS,FIGUEIRA E BARROS,,-,-,-,-,-,-,
15M/02,MALHADA DO SORDO,TEJO,128,-,-,39.789517,-7.401449,ARH-TEJO,CASTELO BRANCO,CASTELO BRANCO,MALPICA DO TEJO,,-,-,-,-,-,-,
26L/52,MALHADA VALVERDE,GUADIANA,123,253259,100595,37.87047,-7.52779,ARH-ALENTEJO,BEJA,SERPA,SERPA (SALVADOR),RIBEIRA LIMAS,-,-,22-04-2009,-,DQA_ECOL_OPER,ATIVA,
28J/05,MALHÃO LARGO,GUADIANA,185,-,-,37.570995,-7.9534577,SOMINCOR,-,-,-,,-,-,-,-,-,-,
23H/03,MALHÕES,,89,-,-,38.419732,-8.259054,ARH-ALENTEJO,-,-,-,,-,-,-,-,-,-,
15J/02,MALJOGA,TEJO,322,212149,311233,39.769082,-7.99312,ARH-TEJO,CASTELO BRANCO,SERTÃ,VÁRZEA DOS CAVALEIROS,RIO ISNA,76.38,226.29,28-02-2001,-,PISC-CIP-78-659 / DQA_ECOL_VIG,ATIVA,
09O/52,MANIGOTO,DOURO,602,287909,415486,40.7036,-7.0929,UTAD,GUARDA,PINHEL,LAMEIRAS,RIBEIRA DA PEGA,-,-,28-04-2010,-,DQA_ECOL_OPER,ATIVA,
11L/02,MANTEIGAS,TEJO,1080,249463,378454,40.356461,-7.558696,ARH-TEJO,GUARDA,MANTEIGAS,MANTEIGAS (SÃO PEDRO),RIO ZÊZERE,-,-,08-09-2009,-,DQA_ECOL_VIG,ATIVA,
04E/03F,MARACHÃO (F),,0,-,-,41.50696,-8.71671,-,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
04E/03S,MARACHÃO (S),CÁVADO/RIBEIRAS COSTEIRAS,0,151275,504275,41.505667,-8.717405,ARH-NORTE,BRAGA,ESPOSENDE,GEMESES,RIO CÁVADO,1502.53,9.18,16-11-1988,-,IMPACTO / NITRATOS-EST_TRÓFICO,ATIVA,
31J/51,MARCHIL,RIBEIRAS DO ALGARVE,3,216642,7702,37.034886,-7.946056,ARH-ALGARVE,FARO,FARO,FARO (SÃO PEDRO),RIBEIRA DE BIOGAL,-,-,01-01-2016,-,DQA_ECOL_VIG,ATIVA,
15I/52,MARMELEIRO,TEJO,260,203599,310835,39.76584,-8.0911,ARH-TEJO,CASTELO BRANCO,SERTÃ,CUMEADA,RIBEIRA DA TAMOLHA,-,-,21-09-2009,-,DQA_ECOL_VIG,ATIVA,
20G/04,MARMELOS,TEJO,49,-,-,38.879359,-8.467974,ARH-TEJO,SANTARÉM,CORUCHE,UNIÃO DAS FREGUESIAS DE CORUCHE  FAJARDA E ERRA,,-,-,-,-,-,-,
20F/03,MARTINHOS,TEJO,13,-,-,38.93375,-8.56688,ARH-TEJO,SANTARÉM,CORUCHE,BISCAINHO,,-,-,-,-,-,-,
05M/03,MASCANHO,DOURO,457,253217,497472,41.44477,-7.49631,ARH-NORTE,VILA REAL,MURÇA,VALONGO DE MILHAIS,RIO CURROS,139.33,183.98,17-01-1994,-,CAPTAÇÃO-75-440 / EXTRACÇÃO,ATIVA,
11M/07,MATA DA CONTENDA,TEJO,516,-,-,40.393908,-7.430267,ARH-TEJO,GUARDA,GUARDA,VALHELHAS,,-,-,-,-,-,-,
08P/03,MATA DE LOBOS,DOURO,584,-,-,40.90288,-6.92259,ARH-NORTE,GUARDA,FIGUEIRA DE CASTELO RODRIGO,MATA DE LOBOS,,-,-,-,-,-,-,
22C/13,MATA DO CERVO,TEJO,10,-,-,38.510769,-9.150419,ARH-TEJO,SETÚBAL,SESIMBRA,SESIMBRA (CASTELO),,-,-,-,-,-,-,
09L/02,MATANÇA,MONDEGO,578,250745,412848,40.682816,-7.532256,ARH-CENTRO,GUARDA,FORNOS DE ALGODRES,MATANÇA,RIBEIRA DO CARAPITO,49.44,174.64,19-02-2001,-,PISC-SALM-78-659,ATIVA,
17M/51,MATINHA,TEJO,289,67114.44,-20622.84,39.479895,-7.353059,ARH-TEJO,-,-,-,RIBEIRA DE CABRIL,-,-,16-02-2011,-,DQA_ECOL_OPER,ATIVA,
08F/10,MATOSINHOS DE BAIXO (ESMORIZ),VOUGA/RIBEIRAS COSTEIRAS,7,-,-,40.95456,-8.63951,ARH-NORTE,AVEIRO,OVAR,ESMORIZ,,-,-,-,-,-,-,
16G/04,MATRENA (MONTANTE DESCARGA),TEJO,43,-,-,39.535756,-8.381902,DGA,SANTARÉM,TOMAR,SÃO PEDRO DE TOMAR,RIO NABÃO,-,-,30-01-1990,01-09-1993,DGA,EXTINTA,
01F/03,MAZEDO,MINHO,37,169300,564427,42.047417,-8.502532,ARH-NORTE,VIANA DO CASTELO,MONÇÃO,MAZEDO,RIO DA GADANHA,67.15,44.5,05-11-1996,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / DQA_QUIM_VIG / CADC,ATIVA,
07Q/01,MAZOUCO,DOURO,238,-,-,41.14497,-6.76899,ARH-NORTE,BRAGANÇA,FREIXO DE ESPADA À CINTA,UNIÃO DAS FREGUESIAS DE FREIXO DE ESPADA À CINTA E MAZOUCO,,-,-,-,-,-,-,
12L/53,MEADAS,TEJO,770,248563,367488,40.27472,-7.562517,ARH-TEJO,CASTELO BRANCO,COVILHÃ,CORTES DO MEIO,RIBEIRA DE CORTES,-,-,09-09-2009,-,DQA_ECOL_VIG,ATIVA,
12I/01,MEDA DOS MOUROS,MONDEGO,225,-,-,40.281812,-8.030772,ARH-CENTRO,COIMBRA,TÁBUA,MOURONHO,,-,-,-,-,-,-,
04F/13,MEDROS,CÁVADO/RIBEIRAS COSTEIRAS,18,-,-,41.51701,-8.6415,ARH-NORTE,BRAGA,BARCELOS,CARVALHAL,,-,-,-,-,-,-,
16C/04,MEIO - A8,RIBEIRAS DO OESTE,4,-,-,39.578994,-9.024904,ARH-TEJO,LEIRIA,NAZARÉ,VALADO DOS FRADES,,-,-,01-01-2016,-,-,ATIVA,
06Q/02,MEIRINHOS,DOURO,348,-,-,41.23599,-6.81084,ARH-NORTE,BRAGANÇA,MOGADOURO,MEIRINHOS,,-,-,-,-,-,-,
25E/01,MELIDES,RIBEIRAS DO ALENTEJO,25,147413,131275,38.14688,-8.73299,ARH-ALENTEJO,SETÚBAL,GRÂNDOLA,MELIDES,RIBEIRA DA LAGOA DE MELIDES,36.77,5.92,05-04-2004,-,DQA_ECOL_OPER,ATIVA,
07G/05,MELRES,DOURO,16,177052,455367,41.057789,-8.401856,ARH-NORTE,PORTO,GONDOMAR,LOMBA,RIO DOURO,96826.75,35.06,15-12-1993,-,CAPTAÇÃO-75-440 / EXTRACÇÃO,ATIVA,
29I/51,MESTRAS,GUADIANA,214,226219,48012,37.396006,-7.833982,ARH-ALGARVE,FARO,ALCOUTIM,MARTIM LONGO,RIBEIRA DA FOUPANA,-,-,16-04-2009,-,DQA_ECOL_VIG,ATIVA,
15E/07,MIL HOMENS,LIS/RIBEIRAS COSTEIRAS,45,140427,303470,39.69743,-8.82766,ARH-CENTRO,LEIRIA,LEIRIA,AZOIA,RIO LENA,163.75,32.46,01-02-1994,-,Fluxo,ATIVA,
15E/08,MILAGRES,LIS/RIBEIRAS COSTEIRAS,24,140713,313152,39.784649,-8.824993,ARH-CENTRO,LEIRIA,LEIRIA,REGUEIRA DE PONTES,RIBEIRA DOS MILAGRES,54.6,21.98,19-10-1994,-,IMPACTO / DQA_QUIM_VIG,ATIVA,
28L/05,MINA DE S. DOMINGOS - MOITINHOS,GUADIANA,106,255104,76761,37.65563,-7.50861,ARH-ALENTEJO,BEJA,MÉRTOLA,SANTANA DE CAMBAS,BARRANCO DA CABECA DE AIRES,-,-,20-10-2009,-,DQA_QUIM_VIG,ATIVA,
23G/50,MINA JUNGEIS,SADO,95,180036,170496,38.50153,-8.36196,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,SANTA SUSANA,RIBEIRA DO PORTO OU DE ESTANCA BURROS,-,-,30-03-2009,-,DQA_ECOL_VIG,ATIVA,
06E/25,MINDELO,,0,-,-,41.309585,-8.741798,-,-,-,-,,-,-,01-01-2019,-,-,ATIVA,
01G/05,MINHO - BAIRRO ALTO,MINHO,14,-,-,42.079709,-8.405949,ARH-NORTE,VIANA DO CASTELO,MONÇÃO,BARBEITA,RIO MINHO,-,-,22-04-2019,-,DQA,ATIVA,
02D/04F,MINHO - CAMINHA (F),,0,-,-,41.8799,-8.84915,-,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
02E/07F,MINHO - CAMINHA (PONTE CAMINHO FERRO) (F),,0,-,-,41.87533,-8.83262,-,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
02E/07S,MINHO - CAMINHA (PONTE CAMINHO FERRO) (S),MINHO,0,-,-,41.87533,-8.83262,INAG/IPIMAR,VIANA DO CASTELO,CAMINHA,-,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02D/03,MINHO - CAMINHA (PONTE ESTRADA 13),MINHO,0,-,-,41.8787,-8.83563,INAG/IPIMAR,VIANA DO CASTELO,CAMINHA,-,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02D/04S,MINHO - CAMINHA (S),MINHO,0,-,-,41.8799,-8.84915,INAG/IPIMAR,VIANA DO CASTELO,CAMINHA,CAMINHA (MATRIZ),RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02E/03F,MINHO - CARVALHA (F),MINHO,0,-,-,41.98332,-8.7001,INAG/IPIMAR,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,-,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02E/03S,MINHO - CARVALHA (S),MINHO,0,-,-,41.98332,-8.7001,INAG/IPIMAR,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,-,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02D/02F,MINHO - COSTA (F),,0,-,-,41.85155,-8.88199,-,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
02D/02S,MINHO - COSTA (S),OCEANO ATLÂNTICO,0,137811,542728,41.85155,-8.88199,ARH-NORTE,-,-,-,OCEANO ATLÂNTICO,-,-,30-05-2001,-,DQA,REATIVADA,
02E/23,MINHO - DOCA SEIXAS,MINHO,0,143120,544782,41.87044,-8.81883,INAG/IH,VIANA DO CASTELO,CAMINHA,SEIXAS,RIO MINHO,16676.79,5.45,20-02-2002,09-09-2004,SP,EXTINTA,
01F/26,MINHO - LAPELA,MINHO,5,166554,537774,42.056284,-8.539303,INAG/IH,VIANA DO CASTELO,MONÇÃO,LAPELA,RIO MINHO,16150.12,40.8,20-02-2002,18-09-2003,SP,EXTINTA,
02D/22,MINHO - MN2A,,0,140479,545905,41.88035,-8.85018,INAG/IH,VIANA DO CASTELO,CAMINHA,CAMINHA (MATRIZ),RIO MINHO,-,-,13-03-2003,09-09-2004,SP,EXTINTA,
01F/07F,MINHO - OUTEIRO (F),MINHO,2,-,-,42.01707,-8.65765,INAG/IPIMAR,VIANA DO CASTELO,VALENÇA,CRISTELO COVO,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
01F/07S,MINHO - OUTEIRO (S),MINHO,2,-,-,42.01707,-8.65765,INAG/IPIMAR,VIANA DO CASTELO,VALENÇA,CRISTELO COVO,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02D/21,MINHO - PONTA CABEDELO,MINHO/ÂNCORA,0,139257,544775,41.87009,-8.86479,INAG/IH,VIANA DO CASTELO,CAMINHA,VILARELHO,RIO MINHO,-,-,20-02-2002,09-09-2004,SP,EXTINTA,
02D/05F,MINHO - PONTA CABEDELO B (F),MINHO,0,-,-,41.86992,-8.86725,INAG/IPIMAR,VIANA DO CASTELO,CAMINHA,VILARELHO,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02D/05S,MINHO - PONTA CABEDELO B (S),MINHO,0,-,-,41.86992,-8.86725,INAG/IPIMAR,VIANA DO CASTELO,CAMINHA,VILARELHO,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02D/20F,MINHO - SAÍDA ESTUÁRIO (F),OCEANO ATLÂNTICO,0,136647,541274,41.83837,-8.89584,INAG/IH,-,-,-,OCEANO ATLÂNTICO,-,-,20-02-2002,09-09-2004,SP,EXTINTA,
02D/20S,MINHO - SAÍDA ESTUÁRIO (S),OCEANO ATLÂNTICO,0,136647,541274,41.83837,-8.89584,ARH-NORTE,-,-,-,OCEANO ATLÂNTICO,-,-,20-02-2002,-,DQA,REATIVADA,
02E/06F,MINHO - SEIXAS (F),,0,-,-,41.89907,-8.8297,-,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
02E/06S,MINHO - SEIXAS (S),MINHO,0,-,-,41.89907,-8.8297,INAG/IPIMAR,VIANA DO CASTELO,CAMINHA,SEIXAS,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02E/25,MINHO - SENHORA CABEÇA,MINHO,1,155438,558879,41.99814,-8.67096,INAG/IH,VIANA DO CASTELO,VALENÇA,SÃO PEDRO DA TORRE,RIO MINHO,16470.6,24.67,20-02-2002,18-09-2003,SP,EXTINTA,
01F/06,MINHO - SOUTILHO,MINHO,4,-,-,42.0519,-8.615811,INAG/IPIMAR,VIANA DO CASTELO,VALENÇA,GANFEI,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02E/05F,MINHO - VARANDAS (F),MINHO,0,-,-,41.91063,-8.80015,INAG/IPIMAR,VIANA DO CASTELO,CAMINHA,LANHELAS,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02E/05S,MINHO - VARANDAS (S),MINHO,0,-,-,41.91063,-8.80015,INAG/IPIMAR,VIANA DO CASTELO,CAMINHA,LANHELAS,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
02E/24,MINHO - VILA NOVA CERVEIRA,MINHO,0,148925,552745,41.94253,-8.74903,INAG/IH,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,VILA NOVA DE CERVEIRA,RIO MINHO,16638.96,13.95,20-02-2002,12-09-2002,SP,EXTINTA,
02E/04,MINHO - VILA NOVA CERVEIRA B,MINHO,0,-,-,41.93891,-8.74986,INAG/IPIMAR,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,VILA NOVA DE CERVEIRA,RIO MINHO,-,-,22-04-2010,-,EEMA,ATIVA,
28E/04F,MIRA - ADEGAS (F),MIRA,0,-,-,37.65623,-8.71262,ARH-ALENTEJO,BEJA,ODEMIRA,-,RIO MIRA,-,-,24-03-2011,-,EEMA,ATIVA,
28E/04S,MIRA - ADEGAS (S),MIRA,0,-,-,37.65623,-8.71262,ARH-ALENTEJO,BEJA,ODEMIRA,-,RIO MIRA,-,-,24-03-2011,-,EEMA,ATIVA,
28E/02F,MIRA - AÇ. BOTELHA GRANDE (F),MIRA,0,-,-,37.63048,-8.69432,ARH-ALENTEJO,-,-,-,RIO MIRA,-,-,01-01-2019,-,DQA,ATIVA,
28E/02S,MIRA - AÇ. BOTELHA GRANDE (S),MIRA,0,150459,73935,37.63048,-8.69432,ARH-ALENTEJO,BEJA,ODEMIRA,-,RIO MIRA,-,-,24-03-2011,-,EEMA,ATIVA,
28E/22,MIRA - CASA BRANCA,MIRA,0,148165,77829,37.66544,-8.72057,INAG/IH,BEJA,ODEMIRA,LONGUEIRA/ALMOGRAVE,RIO MIRA,1475.97,13.76,26-02-2002,23-09-2004,SP,EXTINTA,
28E/03F,MIRA - CASÃO (F),MIRA,0,-,-,37.63993,-8.70277,ARH-ALENTEJO,-,-,-,RIO MIRA,-,-,01-01-2019,-,DQA,ATIVA,
28E/03S,MIRA - CASÃO (S),MIRA,0,-,-,37.63993,-8.70277,ARH-ALENTEJO,BEJA,ODEMIRA,-,RIO MIRA,-,-,24-03-2011,-,EEMA,ATIVA,
